publishedAt,title,viewCount,likeCount,commentCount,duration 
2020-03-08T11:47:58Z,What I eat to STOP SUGAR CRAVINGS | My Top Tips to get back in shape,1722930,40964,1290,PT16M36S
2020-02-25T11:48:49Z,10 min Inner Thigh Workout | Burn Inner Thigh Fat (No Jumping),9745862,193663,4661,PT11M7S
2020-02-24T11:30:01Z,Full Body No Jumping Workout To Burn Fat | Burn Thigh Fat Low Impact Cardio,16379841,311144,5456,PT16M2S
2020-02-18T12:30:02Z,10 Min Standing Abs Workout to get Ripped ABS,29330394,461109,9767,PT10M38S
2020-02-17T11:30:00Z,Slim Thighs & Legs Workout that WORKS | Burn Inner & Outer Thighs Fat (No Jumping),25340258,479728,16007,PT16M22S
2020-02-09T11:12:13Z,SHOCKING Chloe Ting Workout RESULTS | 10+ ABS & BOOTY TRANSFORMATIONS,6215183,146186,4044,PT21M20S
2020-02-02T11:50:44Z,1|000 Reps to burn fat & get ABS | Try this challenge everyday,5761274,145624,5125,PT21M32S
2020-01-26T12:17:32Z,CLEANING OUT MY CLOSET #WITHME | EXTREME Wardrobe Declutter,1701282,43635,2115,PT21M30S
2020-01-20T11:23:58Z,Realistic What i Eat To Lose Weight | Easy Healthy Meals,4284590,104699,2544,PT20M58S
2020-01-09T11:45:01Z,10 min Back & Arms Workout,12904034,281616,5265,PT11M14S
2020-01-07T11:48:03Z,BEST 10 min Lower Abs Workout Routine | Lose Lower Belly Fat,21989696,425685,8388,PT11M2S
2020-01-06T11:45:01Z,10 Min Morning Routine to Burn Belly Fat | No Jumping,17347616,363934,7985,PT10M52S
2020-01-05T11:04:54Z,Easy Meal Prep Ideas to Lose Weight & Get a Flat Belly,1512503,43882,892,PT7M52S
2020-01-03T12:25:28Z,10 min Full Body Cool Down Stretches for Recovery & Flexibility,19014803,257761,3506,PT10M44S
2020-01-02T11:33:26Z,10 min Abs Workout for a Flat Stomach | Get ABS this 2020,29023518,405344,12584,PT11M15S
2020-01-01T12:06:27Z,Best Full Body Workout to Lose Fat 💪🏽20 mins | 28 Day Challenge,25107653,513953,16468,PT21M27S
2019-12-22T11:10:12Z,I Walked 15|000 Steps everyday for 30 days | Skinnier thighs? Weight Loss?,6909243,91068,3357,PT10M9S
2019-12-15T11:15:00Z,3 Months Burn Update | Healing a Burn Scar,1797969,27871,950,PT11M1S
2019-11-19T11:33:04Z,2000 REP Full Body & Abs Workout CHALLENGE for 2 Million Subscribers 🔥Burn Fat| NO JUMPING,3058361,78315,3901,PT49M48S
2019-11-13T11:15:00Z,7 Healthy Meals Under 30 Mins 🥗Budget Meal Prep Challenge!,1808461,53602,956,PT14M3S
2019-11-04T11:37:07Z,15 Mins Sexy Leg & Booty Workout 🍑 With or Without Equipment,6228727,130234,2423,PT15M52S
2019-10-28T11:05:58Z,Flat Belly and Round Booty Workout | 15 mins No Equipment,3747457,73772,1076,PT15M59S
2019-10-23T11:17:58Z,10 Mins Side Booty Wider Hips Workout | Get Rid of Hip Dips,14972675,316680,4922,PT11M32S
2019-10-21T12:03:17Z,35 days Booty Challenge 🍑 With or Without Resistance Bands,12578290,242294,5261,PT21M15S
2019-10-15T11:48:20Z,New Booty Program | Tips to grow glutes + MERCH 👀,501340,8732,521,PT10M18S
2019-10-14T11:09:30Z,Trying Chloe Ting's Abs Workout after a long break  😂😵,2635559,81113,2289,PT8M46S
2019-10-09T11:17:06Z,Guess Calories With Me | Which Has More Calories? 🤷,626094,18464,588,PT12M17S
2019-10-02T11:17:08Z,10 Mins Toned Arms Workout | No Equipment,37891970,572091,13813,PT10M58S
2019-09-30T11:26:10Z,15 Mins Full Body FAT BURN Workout | No Jumping | Beginner Friendly,5299834,114458,1899,PT15M44S
2019-09-29T11:20:14Z,Everything I Eat In A Day | Healthy Recipes to Heal My Skin,1284298,25991,644,PT13M22S
2019-09-25T11:45:00Z,Sexy Back & Abs Workout | 10 Mins (No Equipment),6175478,119992,2110,PT10M54S
2019-09-23T11:39:04Z,Lean Arms Workout Challenge |  Lose Arm Fat (No Equipment),12092135,214434,5600,PT14M4S
2019-09-17T11:38:48Z,How I Burnt My Leg | Scarred for life?,3555178,94748,4070,PT13M46S
2019-09-11T11:45:00Z,2 Weeks Abs Challenge Before/After Results | Did it work for others?,2379714,55779,1426,PT10M6S
2019-09-08T11:15:15Z,Getting Back On Track | What I Eat In a Day,195442,5874,312,PT15M44S
2019-08-15T11:45:00Z,Tight Core & Arms Workout | 2 Weeks Shred Challenge,24548056,409552,19374,PT12M56S
2019-08-14T11:45:02Z,Lower Body Workout | Toned Legs & Butt | 2 Weeks Challenge,36795594,595458,17556,PT13M12S
2019-08-12T11:45:00Z,Get Abs in 2 WEEKS | Abs Workout Challenge,424102202,7480467,280386,PT11M4S
2019-08-08T11:45:00Z,Do This Everyday To Lose Weight | 2 Weeks Shred Challenge,183475212,3642158,142799,PT14M23S
2019-08-04T11:15:00Z,Ariana Grande - boyfriend ABS WORKOUT (Social House),5789661,116465,4136,PT3M11S
2019-07-31T11:45:02Z,Before/After Results | LOST 55 POUNDS + more results,3452888,94649,3407,PT11M57S
2019-07-24T11:45:01Z,10 Mins HIIT Workout to get LEAN | Working Out with A Viewer 👭,1487487,35480,791,PT11M8S
2019-07-23T10:42:57Z,What I Eat to stay FIT in LA | Healthy Recipes | First Time in America,602592,12850,355,PT16M17S
2019-07-15T11:45:01Z,I tried Face Exercises for 30 days to get a slim face | Before/After | Worth It?,5396998,160261,3839,PT7M34S
2019-07-08T11:45:00Z,Get that Toned Legs & Round Booty Workout | Hourglass Program,16837534,300760,3054,PT16M5S
2019-07-03T11:40:47Z,Booty Pump Workout 👍🏼10 mins Booty Burn | Hourglass Program,26497827,558482,7799,PT11M41S
2019-07-02T11:40:02Z,Hourglass Abs Workout  🙋‍♀️Lose Muffin Top & Love Handles | 10 Mins,18927133,331903,7282,PT11M
2019-07-01T11:12:29Z,Small Waist (ABS) & Round Butt Workout 🍑26 Days Hourglass Program ⏳,17533751,365133,7718,PT16M12S
2019-06-23T11:11:25Z,TRY NOT TO LAUGH CHALLENGE 😂YOU LAUGH YOU LOSE,525179,19110,554,PT7M30S
2019-06-17T11:57:21Z,My Workout RESULTS + lots of YOUR BEFORE/AFTER transformation ✨,3397790,90171,1785,PT11M48S
2019-06-05T11:14:05Z,ULTIMATE Full Body FAT BURN Workout 🔥12 min Home Workout,2543482,62712,1613,PT12M44S
2019-06-02T11:09:52Z,5 Min Warm Up Routine | Effective Warm Up Before ANY Workout 💪,4273449,68111,708,PT5M54S
2019-05-29T11:10:20Z,5 Leggings that make your BOOTY look BIGGER & ROUNDER 🍑 | Try On,499380,9780,522,PT7M16S
2019-05-23T11:06:21Z,What I Eat In A Day + Current Physique | Easy & Healthy Recipes,273692,7612,452,PT13M48S
2019-05-13T11:35:09Z,Get That Booty & Toned Legs 🍑 Effective Glute Workout at Home,3773002,77694,1987,PT16M23S
2019-05-09T11:11:05Z,Burn Arms & Back Fat Workout 💪 Sexy Arms in 10 Mins | Upper Body,4018075,92101,1629,PT11M23S
2019-05-07T11:11:44Z,Quick & Effective HIIT Workout for Flat Tummy  ✅ 15 min Calorie Burning,6235952,115703,2539,PT16M13S
2019-04-30T11:08:03Z,Abs Workout 🔥Get that 11 Line Abs in 35 days,67919243,1418607,42966,PT11M8S
2019-04-29T11:07:32Z,Intense 25 min Full Body FAT BURNING Workout 🙋‍♀️| No Jumping Beginner Friendly,15537766,327631,11312,PT26M40S
2019-04-16T10:44:37Z,BLACKPINK ABS & Butt Workout | Kill This Love ALBUM Kpop Workout,3012169,142544,2798,PT13M16S
2019-04-14T11:19:23Z,BTS Boy With Luv | Map of the Soul ALBUM FULL BODY WORKOUT,435641,30027,1532,PT17M2S
2019-03-28T11:06:02Z,10 Mins Thigh Workout to Get LEAN LEGS IN 30 DAYS | NOT BULKY THIGHS,8127741,225208,4662,PT11M29S
2019-03-25T11:18:34Z,Stretches To Get Thinner Legs & Slim Thighs | 10 Mins Routine,1637864,42502,781,PT11M12S
2019-03-21T11:13:34Z,Burn Belly Fat & Thigh Fat Workout | Fat Burning Workout (15 Mins),6812380,156362,3614,PT16M16S
2019-03-19T11:14:48Z,Thigh Workout for Losing Fat | Slim Inner Thigh Workout (No Jumping),3717616,76533,1599,PT11M13S
2019-03-18T11:05:59Z,Slim Legs Workout | Thigh Fat Burning Workout (No Jumping) | Free Program,5866616,143332,3536,PT16M34S
2019-03-12T11:07:51Z,I Stopped Working Out for 60 days | What happens to my Body? Strength?,3040036,48256,1399,PT17M35S
2019-03-07T11:31:19Z,Why You're Bloated | My Bloating Experience | Health Update Part 4,547733,11618,1076,PT12M46S
2019-03-05T11:48:08Z,How to GET ABS & Engage Your Core | FIX These Mistakes + Tips,2811965,131343,2605,PT8M12S
2019-02-26T11:10:48Z,10 Min Plank Workout | 28 DAYS Plank Challenge,18868589,540749,9087,PT12M2S
2019-02-19T11:24:03Z,Flat Belly Abs Challenge Before/After Results + Tips | Did it Work for Others,2915989,77898,2589,PT12M17S
2019-02-14T11:20:34Z,What I Ate This Week To Reduce Bloating | Food That Bloats You,524954,12032,615,PT21M53S
2019-02-12T11:06:12Z,THANK YOU,150506,9553,1596,PT5M4S
2019-02-07T11:23:22Z,Tired of this | My Health Update Part 3,304109,7691,1654,PT22M43S
2019-02-05T11:34:08Z,100 Bridges everyday for 30 days | GAIN 2 INCHES IN 30 DAYS? SHARING YOUR RESULTS!,830796,17261,774,PT11M44S
2019-01-31T11:28:03Z,LOSE THIGH FAT Workout To Get Slimmer Inner Thighs | No Jumping 15 mins Thinner Thighs,6236010,176504,5534,PT16M9S
2019-01-22T11:09:08Z,What I Eat To Stay Lean | My Camera Gear + Filming BTS,78707,2781,324,PT12M47S
2019-01-17T11:45:04Z,45 Min Full Body FAT BURN Workout | Get Flat Abs| Lean Legs & Arms | No Jumping Ver Included,6596949,137337,3744,PT46M53S
2019-01-15T11:23:45Z,Watch this if you bloat or can't lose weight | My Health Update Part 1,594655,14600,909,PT12M34S
2019-01-09T11:28:32Z,10 Min Lower Abs Workout | BURN Lower Belly Fat | Free Flat Belly Program,18115537,421529,6267,PT10M45S
2019-01-07T11:43:53Z,Belly Fat Burner Workout | 20 MIN ABS & HIIT CARDIO Workout At Home | No Jumping alt,9697225,213374,4488,PT21M50S
2019-01-06T11:19:17Z,Weight Loss Meal Prep | Healthy Recipes To Lose Belly Fat,1571524,45298,1216,PT11M44S
2019-01-03T11:48:26Z,10 Mins ABS Workout To Get FLAT BELLY IN 30 DAYS | FREE WORKOUT PROGRAM,53736213,1575520,30688,PT11M3S
2019-01-02T11:29:45Z,30 Min Full Body Workout to BURN FAT & GET ABS + Toned Legs | FREE WORKOUT PROGRAM,15028302,310995,10005,PT31M20S
2018-12-23T12:17:45Z,Eating WHATEVER I Want For 1 DAY | EPIC CHEAT DAY | GIRL VS FOOD,1018507,27017,947,PT13M21S
2018-12-18T11:57:01Z,I Did 100 Bridges Everyday For 30 days | WORTH IT? BEFORE/AFTER RESULTS,6825710,252196,5461,PT5M3S
2018-12-11T11:20:51Z,BITCH LASAGNA Parody | Pewdiepie vs T-series,164539,4041,700,PT2M37S
2018-12-09T12:35:25Z,What I Eat After A CHEAT MEAL | Healthy Recipes | Plant Based,97628,2853,465,PT13M57S
2018-12-04T11:53:46Z,NO JUMPING HIIT WORKOUT | FULL BODY WORKOUT TO BURN FAT | APARTMENT FRIENDLY,1475694,34316,1436,PT15M49S
2018-11-21T11:39:58Z,INTENSE HIIT WORKOUT | BURN 200 CALORIES IN 10 MINS,6875130,128493,4249,PT11M14S
2018-11-13T11:15:00Z,10 Mins INTENSE Chest Workout | BEGINNERS TO ADVANCED,3693822,79546,2853,PT10M25S
2018-11-06T11:19:46Z,GROW YOUR GLUTES & HIPS At Home | BOOTY Workout with or without Dumbbells 🍑,957209,23683,483,PT21M57S
2018-10-23T11:28:31Z,Best ABS Exercises Workout 💪| Intense Lower Abs Routine,3156560,72636,1213,PT12M12S
2018-10-16T11:43:19Z,Full Body Workout TO GET LEAN | BLAST BELLY FAT AT HOME | 20 Min No Equipment,1052493,26228,765,PT20M26S
2018-10-09T11:50:59Z,I TRIED A KPOP DIET | BEFORE/AFTER RESULTS | WORTH IT? LOST 1 KG A DAY?,3568098,116409,3880,PT12M48S
2018-10-02T11:46:47Z,BURN THIGH FAT Workout | Slim & Lean Inner Thighs & Legs【BTS| GOT7 Lullaby| Oh!GG KPOP Music】,883018,31206,1355,PT17M13S
2018-09-25T12:06:40Z,FULL BODY HOME WORKOUT | 20 Min Fat Blasting Routine | No Equipment,521193,14857,435,PT20M45S
2018-09-18T11:59:26Z,Small Waist & Round Butt Workout | Hourglass Workout | At Home Workout,2838085,70496,1979,PT19M13S
2018-08-21T13:10:00Z,Get Lean and Toned ARMS | 10 Mins Arms & Core Workout,417761,10523,245,PT11M3S
2018-08-13T11:45:00Z,10 Min Thigh Slimming Workout | Toned Butt | Burn Inner & Outer Thighs Fat | NO SQUAT,464266,13536,351,PT11M24S
2018-07-26T12:10:35Z,Complete Fat Blasting Full Body Workout | Burn 500 Calories | Warm Up & Cool Down,6699941,130007,4939,PT34M57S
2018-07-17T12:55:46Z,10 Min FLAT ABS WORKOUT | INTENSE RIPPED 6 PACK AB Workout,2113720,41004,887,PT11M12S
